"Spalte1";"STARTED";"AA03_01";"AA03_02";"AA03_03";"AA03_04";"AA03_SUM";"AA05";"AA05_01";"AA05_02";"AA05_03";"AA05_04";"AA05_SUM";"AA06";"AA08";"AA08_01";"AA08_02";"AA08_03";"AA08_04";"AA08_SUM";"AE04_01";"AE06_01";"AE08_01";"AE22";"AE22_01";"AE22_02";"AE22_03";"AE22_04";"AE22_SUM";"AE23";"AE23_01";"AE23_02";"AE23_03";"AE23_04";"AE23_SUM";"AE26";"AE26_01";"AE26_02";"AE26_03";"AE26_04";"AE26_SUM";"IV01_01";"IV01_02";"IV01_03";"IV01_04";"IV01_05";"IV01_06";"IV01_07";"IV01_08";"IV01_09";"IV01_10";"IV01_11";"IV01_12";"IV02_01";"IV02_02";"IV02_03";"IV02_04";"IV02_05";"IV02_06";"KF01";"KF02";"KF03";"KF04";"KF05_01";"KF05_02";"KF05_03";"RD01_CP";"RD01";"SD01";"SD02_01";"SD03";"SD03_07";"SD04";"SD04_10";"SD05";"SD06";"SD07";"SD08";"TOTAL_SCORE";"TOTAL_SCORE_HARD";"TOTAL_SCORE_EASY"
"193";"2024-04-25 08:06:55";1;1;0;1;3;"1";0;1;0;0;1;"2";"1";0;1;1;0;2;0;0;0;"1";1;1;1;1;4;"1";1;1;1;0;3;"2";0;0;0;0;0;"2";"5";"4";"";"";"";"";"0";"1";"";"";"4";"1";"";"2";"";"";"4";"1";"1";"selten";"selten";"trifft vollständig zu";"trifft vollständig zu";"trifft vollständig zu";"0";"1";"Männlich";"15";"Schüler/in";"";"Kein Schulabschluss";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;13;6;7
"209";"2024-04-25 09:48:54";1;1;1;0;3;"1";1;0;0;0;1;"1";"1";0;0;0;0;0;0;0;0;"1";1;0;1;0;2;"1";1;1;1;0;3;"1";1;0;1;1;3;"10";"10";"9";"";"";"";"";"2";"1";"";"";"1";"3";"";"2";"";"";"2";"7";"1";"immer";"manchmal";"trifft eher nicht zu";"trifft eher nicht zu";"trifft vollständig zu";"0";"3";"Weiblich";"22";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;12;4;8
"214";"2024-04-25 11:44:01";1;1;1;0;3;"3";0;0;1;0;1;"2";"1";1;0;1;0;2;0;0;0;"1";1;1;1;1;4;"2";1;1;1;1;4;"2";0;1;0;1;2;"5";"4";"1";"";"";"";"";"0";"0";"";"";"2";"3";"";"4";"";"";"2";"6";"5";"nie";"nie";"trifft eher zu";"trifft gar nicht zu";"trifft vollständig zu";"1";"2";"Männlich";"20";"Auszubildende/r";"";"Abitur";"";"Ich habe Deutsch als erste Fremdsprache gelernt.";NA;NA;NA;16;6;10
"219";"2024-04-25 11:47:47";1;0;0;1;2;"2";0;0;0;0;0;"2";"3";1;0;0;1;2;1;0;0;"4";0;1;0;0;1;"3";0;0;0;1;1;"2";0;1;0;1;2;"4";"2";"6";"";"";"";"";"3";"3";"";"";"2";"0";"";"3";"";"";"0";"7";"2";"manchmal";"selten";"trifft teilweise zu";"trifft gar nicht zu";"trifft vollständig zu";"1";"1";"Männlich";"23";"Auszubildende/r";"";"Abitur";"";"Ich habe Deutsch als erste Fremdsprache gelernt.";NA;NA;NA;9;4;5
"223";"2024-04-25 12:03:38";0;1;0;0;1;"1";0;1;0;0;1;"2";"2";0;0;0;0;0;1;0;0;"2";1;1;0;1;3;"2";1;1;1;1;4;"2";1;1;0;0;2;"5";"6";"4";"";"";"";"";"1";"0";"";"";"2";"3";"";"2";"";"";"1";"7";"3";"eher selten";"eher selten";"trifft teilweise zu";"trifft eher zu";"trifft eher zu";"2";"3";"Weiblich";"22";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;12;2;10
"235";"2024-04-25 12:27:51";1;0;0;0;1;"2";0;1;1;0;2;"1";"1";0;0;0;0;0;0;0;0;"1";1;1;1;1;4;"1";1;1;1;0;3;"1";1;0;1;1;3;"1";"8";"9";"";"";"";"";"0";"1";"";"";"1";"1";"";"3";"";"";"2";"7";"4";"oft";"eher selten";"trifft teilweise zu";"trifft teilweise zu";"trifft eher zu";"2";"1";"Weiblich";"22";"Student/in";"";"Abitur";"";"Ich habe Deutsch als erste Fremdsprache gelernt.";NA;NA;NA;13;3;10
"246";"2024-04-25 12:57:43";1;0;0;0;1;"1";0;1;0;0;1;"2";"1";1;0;1;1;3;0;0;0;"1";1;1;1;1;4;"1";1;0;1;1;3;"1";1;0;0;0;1;"0";"6";"7";"";"";"";"";"0";"1";"";"";"3";"1";"";"2";"";"";"2";"7";"0";"immer";"immer";"trifft eher zu";"trifft vollständig zu";"trifft eher zu";"3";"3";"Weiblich";"20";"Student/in";"";"Abitur";"";"Ich habe Deutsch als erste Fremdsprache gelernt.";NA;NA;NA;13;5;8
"252";"2024-04-25 13:29:23";1;0;0;1;2;"2";1;0;0;1;2;"2";"3";1;0;0;1;2;1;0;0;"2";1;1;1;0;3;"2";1;1;1;1;4;"2";1;1;1;1;4;"4";"2";"2";"";"";"";"";"1";"0";"";"";"0";"0";"";"1";"";"";"0";"7";"0";"manchmal";"eher oft";"trifft vollständig zu";"trifft vollständig zu";"trifft vollständig zu";"4";"3";"Weiblich";"22";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;18;6;12
"264";"2024-04-25 14:15:25";1;0;0;1;2;"1";0;1;0;0;1;"4";"2";0;1;0;1;2;0;1;1;"1";1;1;1;1;4;"2";1;1;1;1;4;"2";1;1;1;1;4;"0";"0";"0";"";"";"";"";"0";"0";"";"";"0";"0";"";"2";"";"";"3";"7";"2";"eher oft";"manchmal";"trifft eher zu";"trifft vollständig zu";"trifft teilweise zu";"4";"1";"Weiblich";"21";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;19;5;14
"272";"2024-04-25 15:08:43";1;1;1;0;3;"1";0;1;0;0;1;"2";"1";1;0;1;1;3;0;1;1;"1";1;1;1;1;4;"2";1;1;1;1;4;"2";1;1;1;1;4;"0";"0";"0";"";"";"";"";"0";"0";"";"";"0";"3";"";"2";"";"";"2";"4";"1";"nie";"manchmal";"trifft vollständig zu";"trifft vollständig zu";"trifft teilweise zu";"5";"2";"Weiblich";"22";"Student/in";"";"Hochschulabschluss";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;21;7;14
